NombreCaso,Algoritmo,NumPistas,DetallesParametros,CostoBaseSolucion,CostoPenalizadoSolucion,EsEstrictamenteFactible,ViolacionesLk,ViolacionesSep,ViolacionesNoProg,TiempoComputacional_seg,OrdenAterrizajeIDs,AvionesNoProgramados
case1.txt,GD,1,N/A,2030.00,2030.00,True,0,0,0,0.0001,2-3-4-5-7-6-8-9-0-13-12-1-11-10-14,
case1.txt,GD_HC,1,IterHC:20,2030.00,2030.00,True,0,0,0,0.0278,2-3-4-5-7-6-8-9-0-13-12-1-11-10-14,
case1.txt,GE_Solo,1,Semilla:0;K_RCL:3,8560.00,8560.00,True,0,0,0,0.0002,3-4-2-7-8-6-9-0-13-12-11-5-14-1-10,
case1.txt,GE_Solo,1,Semilla:1;K_RCL:3,7350.00,7350.00,True,0,0,0,0.0002,2-5-3-7-4-8-9-0-12-13-6-1-10-11-14,
case1.txt,GE_Solo,1,Semilla:2;K_RCL:3,10350.00,10350.00,True,0,0,0,0.0001,2-3-4-7-5-9-0-8-13-1-6-10-12-11-14,
case1.txt,GE_Solo,1,Semilla:3;K_RCL:3,8920.00,8920.00,True,0,0,0,0.0001,2-5-7-3-6-9-8-13-12-4-11-0-10-14-1,
case1.txt,GE_Solo,1,Semilla:4;K_RCL:3,7550.00,7550.00,True,0,0,0,0.0001,2-4-3-6-7-8-5-9-0-13-1-10-11-12-14,
case1.txt,GE_Solo,1,Semilla:5;K_RCL:3,8250.00,8250.00,True,0,0,0,0.0001,4-3-7-5-8-9-0-13-2-12-6-10-1-11-14,
case1.txt,GE_Solo,1,Semilla:6;K_RCL:3,10180.00,10180.00,True,0,0,0,0.0001,4-2-5-7-3-6-8-13-12-0-11-1-10-9-14,
case1.txt,GE_Solo,1,Semilla:7;K_RCL:3,9360.00,9360.00,True,0,0,0,0.0002,3-2-5-6-4-7-0-8-13-1-9-10-12-11-14,
case1.txt,GE_Solo,1,Semilla:8;K_RCL:3,8450.00,8450.00,True,0,0,0,0.0001,2-4-5-3-7-9-6-8-0-13-11-12-10-1-14,
case1.txt,GE_Solo,1,Semilla:9;K_RCL:3,10580.00,10580.00,True,0,0,0,0.0001,3-5-4-7-2-6-0-8-13-1-12-10-9-14-11,
case1.txt,GE_HC,1,SemGE_Origen:0;K_RCL:3;IterHC:20,4090.00,4090.00,True,0,0,0,0.0502,3-4-2-7-8-6-9-0-13-12-5-1-11-14-10,
case1.txt,GE_HC,1,SemGE_Origen:1;K_RCL:3;IterHC:20,2610.00,2610.00,True,0,0,0,0.0359,2-3-5-6-7-4-8-9-0-12-13-1-11-10-14,
case1.txt,GE_HC,1,SemGE_Origen:2;K_RCL:3;IterHC:20,3020.00,3020.00,True,0,0,0,0.0376,2-3-4-7-5-6-9-0-8-13-12-1-11-10-14,
case1.txt,GE_HC,1,SemGE_Origen:3;K_RCL:3;IterHC:20,3170.00,3170.00,True,0,0,0,0.0409,2-3-5-7-4-6-9-8-13-0-12-1-11-10-14,
case1.txt,GE_HC,1,SemGE_Origen:4;K_RCL:3;IterHC:20,2080.00,2080.00,True,0,0,0,0.0385,2-3-4-5-6-7-8-9-0-13-12-1-11-10-14,
case1.txt,GE_HC,1,SemGE_Origen:5;K_RCL:3;IterHC:20,3380.00,3380.00,True,0,0,0,0.0378,2-3-4-7-5-8-9-0-13-6-12-1-11-10-14,
case1.txt,GE_HC,1,SemGE_Origen:6;K_RCL:3;IterHC:20,2850.00,2850.00,True,0,0,0,0.0438,3-4-2-5-7-8-6-9-13-0-12-1-11-10-14,
case1.txt,GE_HC,1,SemGE_Origen:7;K_RCL:3;IterHC:20,3890.00,3890.00,True,0,0,0,0.0392,3-2-5-6-4-7-0-8-13-12-9-1-11-10-14,
case1.txt,GE_HC,1,SemGE_Origen:8;K_RCL:3;IterHC:20,2160.00,2160.00,True,0,0,0,0.0417,2-3-4-5-6-7-8-9-0-13-12-1-11-10-14,
case1.txt,GE_HC,1,SemGE_Origen:9;K_RCL:3;IterHC:20,2490.00,2490.00,True,0,0,0,0.0408,3-2-5-4-7-8-6-0-9-13-12-1-11-10-14,
case1.txt,GRASP_HC_Estoc,1,IterGRASP:10;SemIni:0;K_RCL:3;IterHC:20,2080.00,2080.00,True,0,0,0,0.3913,2-3-4-5-6-7-8-9-0-13-12-1-11-10-14,
case1.txt,GRASP_HC_Estoc,1,IterGRASP:50;SemIni:0;K_RCL:3;IterHC:20,1800.00,1800.00,True,0,0,0,1.9955,2-3-4-7-5-6-8-9-0-13-12-1-11-10-14,
case1.txt,GRASP_HC_Estoc,1,IterGRASP:100;SemIni:0;K_RCL:3;IterHC:20,1800.00,1800.00,True,0,0,0,3.9250,2-3-4-7-5-6-8-9-0-13-12-1-11-10-14,
case1.txt,GD,2,N/A,210.00,210.00,True,0,0,0,0.0001,2-3-4-5-7-6-8-9-0-13-12-1-11-10-14,
case1.txt,GD_HC,2,IterHC:20,210.00,210.00,True,0,0,0,0.0284,2-3-4-5-7-6-8-9-0-13-12-1-11-10-14,
case1.txt,GE_Solo,2,Semilla:0;K_RCL:3,6820.00,6820.00,True,0,0,0,0.0003,2-3-5-7-6-8-0-9-4-13-12-11-1-10-14,
case1.txt,GE_Solo,2,Semilla:1;K_RCL:3,6960.00,6960.00,True,0,0,0,0.0002,2-4-5-7-6-3-8-9-13-12-11-1-0-10-14,
case1.txt,GE_Solo,2,Semilla:2;K_RCL:3,9160.00,9160.00,True,0,0,0,0.0002,2-3-5-6-8-7-0-9-13-12-1-4-11-10-14,
case1.txt,GE_Solo,2,Semilla:3;K_RCL:3,8020.00,8020.00,True,0,0,0,0.0002,2-4-7-6-3-8-5-0-13-12-1-9-11-10-14,
case1.txt,GE_Solo,2,Semilla:4;K_RCL:3,5570.00,5570.00,True,0,0,0,0.0001,2-3-5-7-4-6-8-9-0-13-12-11-1-10-14,
case1.txt,GE_Solo,2,Semilla:5;K_RCL:3,6970.00,6970.00,True,0,0,0,0.0002,4-5-3-6-8-7-2-9-0-12-13-1-11-10-14,
case1.txt,GE_Solo,2,Semilla:6;K_RCL:3,6750.00,6750.00,True,0,0,0,0.0002,3-4-5-2-7-6-0-9-8-13-12-1-11-10-14,
case1.txt,GE_Solo,2,Semilla:7;K_RCL:3,7300.00,7300.00,True,0,0,0,0.0002,2-3-4-6-7-0-9-5-8-13-12-1-11-10-14,
case1.txt,GE_Solo,2,Semilla:8;K_RCL:3,7710.00,7710.00,True,0,0,0,0.0002,2-3-4-5-6-7-8-0-13-12-1-9-11-10-14,
case1.txt,GE_Solo,2,Semilla:9;K_RCL:3,7390.00,7390.00,True,0,0,0,0.0002,3-2-4-6-7-0-9-5-13-8-12-1-11-10-14,
case1.txt,GE_HC,2,SemGE_Origen:0;K_RCL:3;IterHC:20,270.00,270.00,True,0,0,0,0.0548,2-3-4-6-5-7-8-9-0-13-12-1-11-10-14,
case1.txt,GE_HC,2,SemGE_Origen:1;K_RCL:3;IterHC:20,270.00,270.00,True,0,0,0,0.0527,2-3-4-6-5-7-8-9-0-13-12-1-11-10-14,
case1.txt,GE_HC,2,SemGE_Origen:2;K_RCL:3;IterHC:20,210.00,210.00,True,0,0,0,0.0512,2-3-4-7-5-6-8-9-0-13-12-1-11-10-14,
case1.txt,GE_HC,2,SemGE_Origen:3;K_RCL:3;IterHC:20,300.00,300.00,True,0,0,0,0.0476,2-3-4-7-6-5-8-9-0-13-12-1-11-10-14,
case1.txt,GE_HC,2,SemGE_Origen:4;K_RCL:3;IterHC:20,270.00,270.00,True,0,0,0,0.0493,2-3-4-6-7-5-8-9-0-13-12-1-11-10-14,
case1.txt,GE_HC,2,SemGE_Origen:5;K_RCL:3;IterHC:20,840.00,840.00,True,0,0,0,0.0459,2-4-3-6-5-7-8-9-0-13-12-1-11-10-14,
case1.txt,GE_HC,2,SemGE_Origen:6;K_RCL:3;IterHC:20,540.00,540.00,True,0,0,0,0.0506,2-3-4-7-6-5-8-9-0-13-12-1-11-10-14,
case1.txt,GE_HC,2,SemGE_Origen:7;K_RCL:3;IterHC:20,270.00,270.00,True,0,0,0,0.0506,2-3-4-5-6-8-7-9-0-13-12-1-11-10-14,
case1.txt,GE_HC,2,SemGE_Origen:8;K_RCL:3;IterHC:20,210.00,210.00,True,0,0,0,0.0490,2-3-4-7-5-6-8-9-0-13-12-1-11-10-14,
case1.txt,GE_HC,2,SemGE_Origen:9;K_RCL:3;IterHC:20,270.00,270.00,True,0,0,0,0.0508,2-3-4-5-6-8-7-9-0-13-12-1-11-10-14,
case1.txt,GRASP_HC_Estoc,2,IterGRASP:10;SemIni:0;K_RCL:3;IterHC:20,210.00,210.00,True,0,0,0,0.5111,2-3-4-7-5-6-8-9-0-13-12-1-11-10-14,
case1.txt,GRASP_HC_Estoc,2,IterGRASP:50;SemIni:0;K_RCL:3;IterHC:20,210.00,210.00,True,0,0,0,2.5255,2-3-4-7-5-6-8-9-0-13-12-1-11-10-14,
case1.txt,GRASP_HC_Estoc,2,IterGRASP:100;SemIni:0;K_RCL:3;IterHC:20,210.00,210.00,True,0,0,0,5.1943,2-3-4-7-5-6-8-9-0-13-12-1-11-10-14,
case2.txt,GD,1,N/A,2870.00,2870.00,True,0,0,0,0.0001,0-5-7-3-11-9-8-10-2-18-19-1-6-14-4-17-13-12-16-15,
case2.txt,GD_HC,1,IterHC:20,2870.00,2870.00,True,0,0,0,0.0488,0-5-7-3-11-9-8-10-2-18-19-1-6-14-4-17-13-12-16-15,
case2.txt,GE_Solo,1,Semilla:0;K_RCL:3,9410.00,9410.00,True,0,0,0,0.0003,5-7-0-11-8-9-10-2-18-19-6-3-4-1-17-14-13-15-16-12,
case2.txt,GE_Solo,1,Semilla:1;K_RCL:3,8180.00,8180.00,True,0,0,0,0.0002,0-3-5-11-7-8-10-2-19-18-9-1-14-6-17-13-16-4-15-12,
case2.txt,GE_Solo,1,Semilla:2;K_RCL:3,11380.00,11380.00,True,0,0,0,0.0002,0-5-7-11-3-10-2-8-18-1-9-14-19-17-13-6-12-15-16-4,
case2.txt,GE_Solo,1,Semilla:3;K_RCL:3,9040.00,9040.00,True,0,0,0,0.0002,0-3-11-5-9-10-8-18-19-7-6-2-14-4-13-1-17-15-16-12,
case2.txt,GE_Solo,1,Semilla:4;K_RCL:3,8040.00,8040.00,True,0,0,0,0.0002,0-7-5-9-11-8-3-10-2-18-1-14-6-19-4-12-16-13-15-17,
case2.txt,GE_Solo,1,Semilla:5;K_RCL:3,10630.00,10630.00,True,0,0,0,0.0002,7-5-11-3-8-10-2-18-0-19-9-14-1-6-4-13-12-17-15-16,
case2.txt,GE_Solo,1,Semilla:6;K_RCL:3,9150.00,9150.00,True,0,0,0,0.0002,7-0-3-11-5-9-8-18-19-2-6-1-14-10-17-13-4-15-16-12,
case2.txt,GE_Solo,1,Semilla:7;K_RCL:3,11390.00,11390.00,True,0,0,0,0.0002,5-0-3-9-7-11-2-8-18-1-10-14-19-6-4-13-12-17-16-15,
case2.txt,GE_Solo,1,Semilla:8;K_RCL:3,9480.00,9480.00,True,0,0,0,0.0002,0-7-3-5-11-10-9-8-2-18-6-19-14-17-1-13-12-16-15-4,
case2.txt,GE_Solo,1,Semilla:9;K_RCL:3,11960.00,11960.00,True,0,0,0,0.0002,5-3-7-11-0-9-2-8-18-1-19-14-10-4-13-12-16-6-15-17,
case2.txt,GE_HC,1,SemGE_Origen:0;K_RCL:3;IterHC:20,2170.00,2170.00,True,0,0,0,0.0833,0-5-7-3-11-8-9-10-2-18-19-1-6-14-4-17-13-16-12-15,
case2.txt,GE_HC,1,SemGE_Origen:1;K_RCL:3;IterHC:20,4280.00,4280.00,True,0,0,0,0.0719,0-3-5-11-7-8-10-2-19-18-9-1-6-14-4-17-13-16-12-15,
case2.txt,GE_HC,1,SemGE_Origen:2;K_RCL:3;IterHC:20,6230.00,6230.00,True,0,0,0,0.0811,0-5-7-11-3-10-2-8-18-1-9-19-6-14-4-17-13-12-16-15,
case2.txt,GE_HC,1,SemGE_Origen:3;K_RCL:3;IterHC:20,2570.00,2570.00,True,0,0,0,0.0908,0-5-3-11-7-9-10-8-18-19-2-1-6-14-4-17-13-16-12-15,
case2.txt,GE_HC,1,SemGE_Origen:4;K_RCL:3;IterHC:20,4100.00,4100.00,True,0,0,0,0.0718,0-7-5-9-11-8-3-10-2-18-1-6-19-14-4-17-13-12-16-15,
case2.txt,GE_HC,1,SemGE_Origen:5;K_RCL:3;IterHC:20,3370.00,3370.00,True,0,0,0,0.0749,0-7-5-11-3-8-10-2-18-9-19-1-6-14-4-17-13-12-16-15,
case2.txt,GE_HC,1,SemGE_Origen:6;K_RCL:3;IterHC:20,1510.00,1510.00,True,0,0,0,0.0854,0-7-5-3-11-8-9-10-18-19-2-1-6-14-4-17-13-16-12-15,
case2.txt,GE_HC,1,SemGE_Origen:7;K_RCL:3;IterHC:20,3740.00,3740.00,True,0,0,0,0.0786,0-5-7-3-9-8-11-2-19-18-1-10-6-14-4-17-13-12-16-15,
case2.txt,GE_HC,1,SemGE_Origen:8;K_RCL:3;IterHC:20,3410.00,3410.00,True,0,0,0,0.0750,0-7-3-5-11-10-9-8-2-18-19-1-6-14-4-17-13-12-16-15,
case2.txt,GE_HC,1,SemGE_Origen:9;K_RCL:3;IterHC:20,3440.00,3440.00,True,0,0,0,0.0764,0-5-3-7-11-8-9-2-10-18-1-19-6-14-4-17-13-12-16-15,
case2.txt,GRASP_HC_Estoc,1,IterGRASP:10;SemIni:0;K_RCL:3;IterHC:20,1510.00,1510.00,True,0,0,0,0.7781,0-7-5-3-11-8-9-10-18-19-2-1-6-14-4-17-13-16-12-15,
case2.txt,GRASP_HC_Estoc,1,IterGRASP:50;SemIni:0;K_RCL:3;IterHC:20,1280.00,1280.00,True,0,0,0,3.9355,0-7-5-11-3-9-8-10-18-19-2-1-6-14-4-17-13-16-12-15,
case2.txt,GRASP_HC_Estoc,1,IterGRASP:100;SemIni:0;K_RCL:3;IterHC:20,1280.00,1280.00,True,0,0,0,7.9418,0-7-5-11-3-9-8-10-18-19-2-1-6-14-4-17-13-16-12-15,
case2.txt,GD,2,N/A,60.00,60.00,True,0,0,0,0.0001,0-5-7-3-11-9-8-10-2-18-19-1-6-14-4-17-13-12-16-15,
case2.txt,GD_HC,2,IterHC:20,60.00,60.00,True,0,0,0,0.0544,0-5-7-3-11-9-8-10-2-18-19-1-6-14-4-17-13-12-16-15,
case2.txt,GE_Solo,2,Semilla:0;K_RCL:3,8740.00,8740.00,True,0,0,0,0.0003,0-5-3-11-9-8-7-2-18-19-10-1-4-14-6-17-16-12-13-15,
case2.txt,GE_Solo,2,Semilla:1;K_RCL:3,10270.00,10270.00,True,0,0,0,0.0002,0-7-3-11-8-9-5-10-18-19-1-4-6-14-17-13-2-12-16-15,
case2.txt,GE_Solo,2,Semilla:2;K_RCL:3,11670.00,11670.00,True,0,0,0,0.0002,0-5-7-11-9-10-2-3-18-19-6-4-1-14-8-17-13-12-16-15,
case2.txt,GE_Solo,2,Semilla:3;K_RCL:3,9230.00,9230.00,True,0,0,0,0.0002,0-7-11-9-5-8-10-3-18-19-1-6-14-2-17-12-16-4-13-15,
case2.txt,GE_Solo,2,Semilla:4;K_RCL:3,8580.00,8580.00,True,0,0,0,0.0002,0-5-3-7-11-8-9-10-2-19-1-18-6-14-17-4-13-12-16-15,
case2.txt,GE_Solo,2,Semilla:5;K_RCL:3,9140.00,9140.00,True,0,0,0,0.0002,7-3-5-11-9-0-8-2-10-18-19-1-6-14-17-13-4-12-16-15,
case2.txt,GE_Solo,2,Semilla:6;K_RCL:3,10400.00,10400.00,True,0,0,0,0.0002,5-7-3-0-11-10-2-8-18-9-1-6-4-19-17-12-13-14-16-15,
case2.txt,GE_Solo,2,Semilla:7;K_RCL:3,8990.00,8990.00,True,0,0,0,0.0002,5-7-0-11-8-3-9-10-2-18-1-19-6-4-14-17-12-16-13-15,
case2.txt,GE_Solo,2,Semilla:8;K_RCL:3,11010.00,11010.00,True,0,0,0,0.0002,0-5-7-3-11-9-8-2-18-10-1-6-4-14-17-13-19-12-16-15,
