NombreCaso,Algoritmo,NumPistas,SemillaGE,CostoTotalSolucion,TiempoComputacional_seg,OrdenAterrizajeIDs,AvionesNoProgramados
case3.txt,GE,1,2,INFACTIBLE,0.0005,0-1-2-4-3-7-8-6-9-11-5-13-10-15-16-12-17-19-18-21-22-20-24-23-26-25-14-27-29-30-31-32-33-35-28-37-34-36-38-39-40-42-41-43,
case3.txt,GE,1,3,INFACTIBLE,0.0005,0-3-4-1-5-7-6-9-10-2-12-8-13-14-16-11-15-19-18-21-22-20-23-25-17-24-28-26-30-29-32-27-34-31-33-37-35-38-36-40-41-43-42-39,
case3.txt,GE,1,4,INFACTIBLE,0.0005,0-2-1-5-4-6-3-7-8-9-11-13-12-10-14-17-18-16-19-15-20-22-21-23-26-25-27-24-28-30-31-33-34-32-29-37-36-39-38-41-35-40-42-43,
case3.txt,GE,1,5,INFACTIBLE,0.0005,2-1-4-3-6-7-8-9-0-10-5-13-11-12-14-16-17-15-19-21-18-23-20-22-26-24-27-28-25-30-29-31-32-35-36-34-33-37-38-39-40-41-42-43,
case3.txt,GE,1,6,INFACTIBLE,0.0005,2-0-3-4-1-5-6-9-10-8-12-11-13-7-15-16-14-19-18-21-22-23-17-20-26-27-28-29-25-31-32-33-24-34-35-30-37-38-39-40-42-36-41-43,
case3.txt,GE,1,7,INFACTIBLE,0.0005,1-0-3-5-2-4-8-6-9-11-7-13-10-12-14-16-17-15-18-19-22-21-20-25-23-24-28-29-30-26-32-33-31-27-34-35-38-36-39-40-37-43-41-42,
case3.txt,GE,1,8,INFACTIBLE,0.0005,0-2-3-1-4-7-5-6-8-9-12-10-13-15-11-16-17-18-19-20-22-14-23-21-25-24-26-29-28-31-30-32-33-35-27-37-36-34-38-40-42-41-39-43,
case3.txt,GE,1,9,INFACTIBLE,0.0005,1-3-2-4-0-5-8-6-9-11-10-13-7-14-16-17-18-12-20-19-15-23-22-25-24-21-26-27-28-29-30-33-34-31-36-35-38-32-39-37-42-40-43-41,
case3.txt,GE,2,0,INFACTIBLE,0.0005,0-1-3-4-5-6-7-8-9-2-10-12-11-13-16-17-15-18-19-20-22-23-21-14-25-24-27-29-30-31-28-26-32-33-34-35-36-37-38-39-40-41-42-43,
case3.txt,GE,2,1,INFACTIBLE,0.0005,0-1-2-3-4-5-6-7-9-10-11-12-13-8-14-15-17-18-19-20-21-22-23-24-25-26-27-16-28-29-30-32-34-35-33-36-37-39-40-41-38-31-42-43,
case3.txt,GE,2,2,INFACTIBLE,0.0006,0-1-3-2-5-6-7-8-9-10-4-11-12-13-14-15-17-18-19-16-20-21-22-23-24-27-28-26-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-25,
case3.txt,GE,2,3,INFACTIBLE,0.0006,0-2-4-5-3-1-6-7-9-10-11-8-13-15-16-17-12-18-19-20-14-22-23-21-24-25-27-28-26-29-30-32-33-34-36-37-38-39-35-40-41-42-31-43,
case3.txt,GE,2,4,INFACTIBLE,0.0005,0-1-3-4-2-5-6-7-8-9-10-11-12-13-15-14-16-17-18-19-21-23-24-20-25-22-27-28-26-30-31-32-33-34-29-35-36-37-38-39-41-42-40-43,
case3.txt,GE,2,5,INFACTIBLE,0.0005,2-3-1-4-0-5-6-7-8-9-10-11-13-14-15-12-16-17-18-19-20-21-22-23-24-25-27-28-29-30-31-26-32-33-35-34-37-38-36-39-40-41-42-43,
case3.txt,GE,2,6,INFACTIBLE,0.0006,1-2-0-3-4-5-7-6-8-9-10-13-14-11-16-17-15-18-19-20-12-22-21-23-24-27-28-26-25-31-29-32-33-34-35-30-36-38-39-40-41-42-37-43,
case3.txt,GE,2,7,INFACTIBLE,0.0008,1-2-0-4-5-6-3-7-8-9-10-11-12-13-15-14-17-19-20-16-18-21-23-24-25-27-28-29-22-30-31-26-33-34-35-36-37-38-32-39-40-41-42-43,
case3.txt,GE,2,8,INFACTIBLE,0.0009,0-1-2-3-4-5-6-7-9-10-11-12-8-13-14-16-17-18-19-15-20-21-22-23-25-26-24-28-29-30-31-27-32-33-34-36-37-38-39-40-41-42-35-43,
case3.txt,GE,2,9,INFACTIBLE,0.0008,1-2-0-3-5-6-8-9-7-11-12-4-10-14-13-15-16-17-20-21-22-19-18-23-25-26-27-28-24-30-31-29-32-33-34-35-36-37-38-39-40-41-42-43,
case4.txt,GD,1,N/A,14265.89,0.0005,0-1-5-9-2-7-3-6-8-4-11-12-10-13-15-16-17-14-19-18-23-21-22-20-24-26-29-30-28-25-33-27-32-34-31-35-36-39-37-40-38-43-46-41-44-45-42-49-50-47-48-51-53-52-54-58-56-57-55-59-60-61-62-63-66-65-67-64-68-69-71-70-72-73-74-76-75-78-77-84-79-80-81-83-82-87-85-86-89-88-90-91-92-94-93-97-95-98-96-99,
case4.txt,GD,2,N/A,617.14,0.0005,0-1-5-9-2-7-3-6-8-4-11-12-10-13-15-16-17-14-19-18-23-21-22-20-24-26-29-30-28-25-33-27-32-34-31-35-36-39-37-40-38-43-46-41-44-45-42-49-50-47-48-51-53-52-54-58-56-57-55-59-60-61-62-63-66-65-67-64-68-69-71-70-72-73-74-76-75-78-77-84-79-80-81-83-82-87-85-86-89-88-90-91-92-94-93-97-95-98-96-99,
case4.txt,GE,1,0,34756.98,0.0019,1-5-0-2-3-7-6-8-4-11-10-9-15-12-16-13-17-18-19-21-22-20-14-24-23-30-26-25-28-33-32-29-34-31-35-39-37-27-38-40-43-41-46-36-42-44-45-47-50-51-53-52-49-58-54-56-48-59-55-61-57-60-66-62-63-65-68-64-67-69-70-73-72-71-76-78-75-84-74-80-79-83-77-87-85-86-82-89-81-91-90-92-93-88-97-94-95-98-96-99,
case4.txt,GE,1,1,INFACTIBLE,0.0022,0-9-1-2-5-3-6-8-11-4-7-12-13-10-16-17-19-15-23-18-21-20-14-26-22-29-24-30-28-27-32-25-34-35-33-36-37-31-38-39-43-46-44-40-45-41-50-42-47-48-49-53-54-58-51-52-55-59-57-56-62-61-66-65-67-63-68-69-60-71-70-73-72-76-74-78-64-77-75-80-79-81-82-84-87-86-89-88-90-85-83-92-93-97-91-94-96-98-99-95,
case4.txt,GE,1,2,INFACTIBLE,0.0020,0-1-5-2-9-6-8-3-4-12-7-13-11-16-17-10-14-18-19-21-22-23-24-20-29-26-15-30-25-33-27-32-34-35-28-39-31-36-37-40-38-46-43-41-42-49-45-47-48-51-44-53-52-58-56-54-55-57-59-60-50-62-66-65-63-64-68-61-69-71-70-73-74-72-75-76-78-77-79-80-81-83-84-82-85-67-86-88-87-91-90-92-94-93-95-98-96-99-97-89,
case4.txt,GE,1,3,INFACTIBLE,0.0020,0-9-2-1-7-6-3-4-11-5-10-8-13-15-17-12-16-18-19-21-22-23-20-26-14-24-28-29-33-25-32-30-31-27-34-39-35-37-36-38-43-41-44-46-42-45-49-47-48-50-40-53-51-52-54-56-58-55-60-59-62-61-63-65-66-64-67-69-71-68-72-57-73-76-70-75-77-84-79-74-81-80-82-87-85-78-89-88-83-91-92-90-94-86-93-95-96-98-97-99,
case4.txt,GE,1,4,INFACTIBLE,0.0019,0-5-1-7-2-3-9-6-8-4-12-13-10-11-15-14-19-17-18-16-23-22-21-20-29-26-30-24-28-33-27-34-31-32-25-39-36-40-37-43-35-38-46-44-45-41-50-49-42-48-53-52-51-58-47-56-57-59-55-60-61-54-62-66-65-63-67-64-69-70-71-73-74-76-72-78-75-68-79-77-84-81-80-87-85-82-86-83-88-90-92-94-91-97-95-89-98-93-96-99,
case4.txt,GE,1,5,32554.66,0.0019,5-1-2-9-3-6-8-4-0-11-7-13-12-10-15-17-14-16-18-21-19-20-23-22-29-24-30-28-26-33-25-27-32-35-36-31-34-39-37-40-38-43-46-41-45-42-44-47-48-51-49-50-54-53-58-56-52-55-59-57-60-62-61-66-65-64-68-63-71-70-72-69-67-74-76-75-78-84-77-73-80-81-82-79-83-85-87-88-89-90-86-94-92-93-97-98-91-96-95-99,
case4.txt,GE,1,6,38825.21,0.0019,5-0-9-2-1-7-3-4-11-8-10-12-13-6-16-17-15-18-19-21-22-20-14-23-29-30-28-25-26-27-32-34-24-31-35-33-39-37-40-38-46-36-43-45-42-44-41-49-48-50-53-51-52-47-56-57-55-59-60-54-62-61-58-65-66-67-64-69-63-68-72-73-74-71-70-78-77-75-84-80-76-81-83-79-82-86-87-88-90-85-89-91-92-97-93-98-96-99-95-94,
case4.txt,GE,1,7,33959.92,0.0020,1-0-9-7-5-2-8-3-4-12-6-13-11-10-15-17-14-16-19-18-22-21-23-26-20-24-28-25-33-29-32-34-27-30-31-35-37-36-40-38-39-41-43-45-44-49-50-46-42-51-53-52-47-54-48-57-55-58-60-56-62-59-63-65-67-66-64-68-71-69-70-72-61-73-75-74-76-84-77-80-79-81-82-83-87-86-78-85-90-88-89-92-91-93-97-94-96-95-99-98,
case4.txt,GE,1,8,35653.09,0.0020,0-5-9-1-2-6-7-3-8-4-10-11-13-16-12-17-14-19-18-23-22-15-20-21-26-24-29-25-28-27-33-32-34-35-30-39-36-31-37-38-46-43-40-45-41-42-44-47-49-48-53-52-50-58-51-57-54-59-56-60-62-55-61-65-66-64-68-67-69-70-71-72-63-73-75-74-77-84-78-80-79-83-81-87-85-76-86-82-88-91-90-94-93-89-95-98-96-92-99-97,
