Caso,Algoritmo,Pistas,Parametros,Estado,Costo,Tiempo_s
case2.txt,SA from Best Stoch,2,T=1000,VALID,4240.00,0.7600
case2.txt,SA from Det,1,T=500,VALID,4430.00,0.1999
case2.txt,SA from Det,2,T=500,VALID,4040.00,0.7011
case2.txt,SA from Best Stoch,1,T=500,VALID,4040.00,0.1918
case2.txt,SA from Best Stoch,2,T=500,VALID,4040.00,0.7279
case2.txt,SA from Det,1,T=100,VALID,4240.00,0.1600
case2.txt,SA from Det,2,T=100,VALID,4040.00,0.5763
case2.txt,SA from Best Stoch,1,T=100,VALID,4040.00,0.1659
case2.txt,SA from Best Stoch,2,T=100,VALID,4240.00,0.5883
case3.txt,Greedy Deterministic,1,N/A,VALID,1550.00,0.0005
case3.txt,Greedy Deterministic,2,N/A,VALID,7639.00,0.0010
case3.txt,HC from Deterministic,1,N/A,VALID,1550.00,0.0040
case3.txt,HC from Deterministic,2,N/A,VALID,1550.00,0.0297
case3.txt,Greedy Stochastic,1,0,INVALID,INF,0.0000
case3.txt,Greedy Stochastic,2,0,INVALID,INF,0.0000
case3.txt,Greedy Stochastic,1,1,INVALID,INF,0.0000
case3.txt,Greedy Stochastic,2,1,INVALID,INF,0.0000
case3.txt,Greedy Stochastic,1,2,INVALID,INF,0.0000
case3.txt,Greedy Stochastic,2,2,INVALID,INF,0.0000
case3.txt,Greedy Stochastic,1,3,INVALID,INF,0.0000
case3.txt,Greedy Stochastic,2,3,INVALID,INF,0.0000
case3.txt,Greedy Stochastic,1,4,INVALID,INF,0.0000
case3.txt,Greedy Stochastic,2,4,INVALID,INF,0.0000
case3.txt,Greedy Stochastic,1,5,INVALID,INF,0.0000
case3.txt,Greedy Stochastic,2,5,INVALID,INF,0.0000
case3.txt,Greedy Stochastic,1,6,INVALID,INF,0.0000
case3.txt,Greedy Stochastic,2,6,INVALID,INF,0.0000
case3.txt,Greedy Stochastic,1,7,INVALID,INF,0.0000
case3.txt,Greedy Stochastic,2,7,INVALID,INF,0.0000
case3.txt,Greedy Stochastic,1,8,INVALID,INF,0.0000
case3.txt,Greedy Stochastic,2,8,INVALID,INF,0.0000
case3.txt,Greedy Stochastic,1,9,INVALID,INF,0.0000
case3.txt,Greedy Stochastic,2,9,INVALID,INF,0.0000
case3.txt,GRASP Stochastic,1,10,INVALID,INF,0.0187
case3.txt,GRASP Stochastic,2,10,INVALID,INF,0.0190
case3.txt,GRASP Stochastic,1,25,INVALID,INF,0.0481
case3.txt,GRASP Stochastic,2,25,INVALID,INF,0.0462
case3.txt,GRASP Stochastic,1,50,INVALID,INF,0.0940
case3.txt,GRASP Stochastic,2,50,INVALID,INF,0.0939
case3.txt,SA from Det,1,T=10000,VALID,1550.00,4.2091
case3.txt,SA from Det,2,T=10000,VALID,1550.00,25.2593
case3.txt,SA from Best Stoch,1,T=10000,INVALID,INF,0.0000
case3.txt,SA from Best Stoch,2,T=10000,INVALID,INF,0.0000
case3.txt,SA from Det,1,T=5000,VALID,1550.00,3.8893
case3.txt,SA from Det,2,T=5000,VALID,1550.00,23.8000
case3.txt,SA from Best Stoch,1,T=5000,INVALID,INF,0.0000
case3.txt,SA from Best Stoch,2,T=5000,INVALID,INF,0.0000
case3.txt,SA from Det,1,T=1000,VALID,1550.00,3.3603
case3.txt,SA from Det,2,T=1000,VALID,1550.00,20.2137
case3.txt,SA from Best Stoch,1,T=1000,INVALID,INF,0.0000
case3.txt,SA from Best Stoch,2,T=1000,INVALID,INF,0.0000
case3.txt,SA from Det,1,T=500,VALID,1550.00,3.0667
case3.txt,SA from Det,2,T=500,VALID,1550.00,18.5686
case3.txt,SA from Best Stoch,1,T=500,INVALID,INF,0.0000
case3.txt,SA from Best Stoch,2,T=500,INVALID,INF,0.0000
case3.txt,SA from Det,1,T=100,VALID,1550.00,2.4022
case3.txt,SA from Det,2,T=100,VALID,1550.00,14.8316
case3.txt,SA from Best Stoch,1,T=100,INVALID,INF,0.0000
case3.txt,SA from Best Stoch,2,T=100,INVALID,INF,0.0000
