NombreCaso,Algoritmo,NumPistas,DetallesParametros,CostoBaseSolucion,CostoPenalizadoSolucion,EsEstrictamenteFactible,ViolacionesLk,ViolacionesSep,ViolacionesNoProg,TiempoComputacional_seg,OrdenAterrizajeIDs,AvionesNoProgramados
case1.txt,GD,1,N/A,2030.00,2030.00,True,0,0,0,0.0001,2-3-4-5-7-6-8-9-0-13-12-1-11-10-14,
case1.txt,GD_HC,1,IterHC:20,2030.00,2030.00,True,0,0,0,0.0328,2-3-4-5-7-6-8-9-0-13-12-1-11-10-14,
case1.txt,GE,1,Semilla:0;K_RCL:3,8560.00,8560.00,True,0,0,0,0.0002,3-4-2-7-8-6-9-0-13-12-11-5-14-1-10,
case1.txt,GE,1,Semilla:1;K_RCL:3,7350.00,7350.00,True,0,0,0,0.0001,2-5-3-7-4-8-9-0-12-13-6-1-10-11-14,
case1.txt,GE,1,Semilla:2;K_RCL:3,10350.00,10350.00,True,0,0,0,0.0001,2-3-4-7-5-9-0-8-13-1-6-10-12-11-14,
case1.txt,GE,1,Semilla:3;K_RCL:3,8920.00,8920.00,True,0,0,0,0.0001,2-5-7-3-6-9-8-13-12-4-11-0-10-14-1,
case1.txt,GE,1,Semilla:4;K_RCL:3,7550.00,7550.00,True,0,0,0,0.0001,2-4-3-6-7-8-5-9-0-13-1-10-11-12-14,
case1.txt,GE,1,Semilla:5;K_RCL:3,8250.00,8250.00,True,0,0,0,0.0001,4-3-7-5-8-9-0-13-2-12-6-10-1-11-14,
case1.txt,GE,1,Semilla:6;K_RCL:3,10180.00,10180.00,True,0,0,0,0.0002,4-2-5-7-3-6-8-13-12-0-11-1-10-9-14,
case1.txt,GE,1,Semilla:7;K_RCL:3,9360.00,9360.00,True,0,0,0,0.0002,3-2-5-6-4-7-0-8-13-1-9-10-12-11-14,
case1.txt,GE,1,Semilla:8;K_RCL:3,8450.00,8450.00,True,0,0,0,0.0002,2-4-5-3-7-9-6-8-0-13-11-12-10-1-14,
case1.txt,GE,1,Semilla:9;K_RCL:3,10580.00,10580.00,True,0,0,0,0.0002,3-5-4-7-2-6-0-8-13-1-12-10-9-14-11,
case1.txt,GRASP_HC_Estoc,1,IterGRASP:10;SemIni:0;K_RCL:3;IterHC:20,2080.00,2080.00,True,0,0,0,0.3952,2-3-4-5-6-7-8-9-0-13-12-1-11-10-14,
case1.txt,GRASP_HC_Estoc,1,IterGRASP:25;SemIni:0;K_RCL:3;IterHC:20,1800.00,1800.00,True,0,0,0,0.9960,2-3-4-7-5-6-8-9-0-13-12-1-11-10-14,
case1.txt,GRASP_HC_Estoc,1,IterGRASP:50;SemIni:0;K_RCL:3;IterHC:20,1800.00,1800.00,True,0,0,0,2.0366,2-3-4-7-5-6-8-9-0-13-12-1-11-10-14,
case1.txt,GD,2,N/A,210.00,210.00,True,0,0,0,0.0002,2-3-4-5-7-6-8-9-0-13-12-1-11-10-14,
case1.txt,GD_HC,2,IterHC:20,210.00,210.00,True,0,0,0,0.0291,2-3-4-5-7-6-8-9-0-13-12-1-11-10-14,
case1.txt,GE,2,Semilla:0;K_RCL:3,6820.00,6820.00,True,0,0,0,0.0002,2-3-5-7-6-8-0-9-4-13-12-11-1-10-14,
case1.txt,GE,2,Semilla:1;K_RCL:3,6960.00,6960.00,True,0,0,0,0.0002,2-4-5-7-6-3-8-9-13-12-11-1-0-10-14,
case1.txt,GE,2,Semilla:2;K_RCL:3,9160.00,9160.00,True,0,0,0,0.0002,2-3-5-6-8-7-0-9-13-12-1-4-11-10-14,
case1.txt,GE,2,Semilla:3;K_RCL:3,8020.00,8020.00,True,0,0,0,0.0001,2-4-7-6-3-8-5-0-13-12-1-9-11-10-14,
case1.txt,GE,2,Semilla:4;K_RCL:3,5570.00,5570.00,True,0,0,0,0.0002,2-3-5-7-4-6-8-9-0-13-12-11-1-10-14,
case1.txt,GE,2,Semilla:5;K_RCL:3,6970.00,6970.00,True,0,0,0,0.0002,4-5-3-6-8-7-2-9-0-12-13-1-11-10-14,
case1.txt,GE,2,Semilla:6;K_RCL:3,6750.00,6750.00,True,0,0,0,0.0002,3-4-5-2-7-6-0-9-8-13-12-1-11-10-14,
case1.txt,GE,2,Semilla:7;K_RCL:3,7300.00,7300.00,True,0,0,0,0.0002,2-3-4-6-7-0-9-5-8-13-12-1-11-10-14,
case1.txt,GE,2,Semilla:8;K_RCL:3,7710.00,7710.00,True,0,0,0,0.0002,2-3-4-5-6-7-8-0-13-12-1-9-11-10-14,
case1.txt,GE,2,Semilla:9;K_RCL:3,7390.00,7390.00,True,0,0,0,0.0001,3-2-4-6-7-0-9-5-13-8-12-1-11-10-14,
case1.txt,GRASP_HC_Estoc,2,IterGRASP:10;SemIni:0;K_RCL:3;IterHC:20,210.00,210.00,True,0,0,0,0.5193,2-3-4-7-5-6-8-9-0-13-12-1-11-10-14,
case1.txt,GRASP_HC_Estoc,2,IterGRASP:25;SemIni:0;K_RCL:3;IterHC:20,210.00,210.00,True,0,0,0,1.3071,2-3-4-7-5-6-8-9-0-13-12-1-11-10-14,
case1.txt,GRASP_HC_Estoc,2,IterGRASP:50;SemIni:0;K_RCL:3;IterHC:20,210.00,210.00,True,0,0,0,2.5853,2-3-4-7-5-6-8-9-0-13-12-1-11-10-14,
case2.txt,GD,1,N/A,2870.00,2870.00,True,0,0,0,0.0001,0-5-7-3-11-9-8-10-2-18-19-1-6-14-4-17-13-12-16-15,
case2.txt,GD_HC,1,IterHC:20,2870.00,2870.00,True,0,0,0,0.0603,0-5-7-3-11-9-8-10-2-18-19-1-6-14-4-17-13-12-16-15,
