Caso,Algoritmo,Pistas,Seed_Iteraciones,Estado,Costo,Tiempo_s
case4.txt,HC from Deterministic,1,N/A,VALID,12568.25,2.4276
case4.txt,HC from Deterministic,2,N/A,VALID,12568.25,34.6257
case4.txt,Greedy Stochastic,1,0,VALID,34756.98,0.0000
case4.txt,Greedy Stochastic,1,1,INVALID,INF,0.0000
case4.txt,Greedy Stochastic,1,2,INVALID,INF,0.0000
case4.txt,Greedy Stochastic,1,3,INVALID,INF,0.0000
case4.txt,Greedy Stochastic,1,4,INVALID,INF,0.0000
case4.txt,Greedy Stochastic,1,5,VALID,32554.66,0.0000
case4.txt,Greedy Stochastic,1,6,VALID,38825.21,0.0000
case4.txt,Greedy Stochastic,1,7,VALID,33959.92,0.0000
case4.txt,Greedy Stochastic,1,8,VALID,35653.09,0.0000
case4.txt,Greedy Stochastic,1,9,VALID,32102.19,0.0000
case4.txt,Greedy Stochastic,2,0,VALID,34756.98,0.0000
case4.txt,Greedy Stochastic,2,1,INVALID,INF,0.0000
case4.txt,Greedy Stochastic,2,2,INVALID,INF,0.0000
case4.txt,Greedy Stochastic,2,3,INVALID,INF,0.0000
case4.txt,Greedy Stochastic,2,4,INVALID,INF,0.0000
case4.txt,Greedy Stochastic,2,5,VALID,32554.66,0.0000
case4.txt,Greedy Stochastic,2,6,VALID,38825.21,0.0000
case4.txt,Greedy Stochastic,2,7,VALID,33959.92,0.0000
case4.txt,Greedy Stochastic,2,8,VALID,35653.09,0.0000
case4.txt,Greedy Stochastic,2,9,VALID,32102.19,0.0000
case4.txt,GRASP Stochastic,1,5,VALID,14656.33,4.1276
case4.txt,GRASP Stochastic,2,5,VALID,14656.33,55.8959
case4.txt,GRASP Stochastic,1,15,VALID,12595.11,44.1259
