NombreCaso,Algoritmo,NumPistas,DetallesParametros,CostoBaseSolucion,CostoPenalizadoSolucion,EsEstrictamenteFactible,ViolacionesLk,ViolacionesSep,ViolacionesNoProg,TiempoComputacional_seg,OrdenAterrizajeIDs,AvionesNoProgramados
case1.txt,GD,1,N/A,2030.00,2030.00,True,0,0,0,0.0001,2-3-4-5-7-6-8-9-0-13-12-1-11-10-14,
case1.txt,GE_Solo,1,Semilla:0;K_RCL:3,8560.00,8560.00,True,0,0,0,0.0002,3-4-2-7-8-6-9-0-13-12-11-5-14-1-10,
case1.txt,GE_Solo,1,Semilla:1;K_RCL:3,7350.00,7350.00,True,0,0,0,0.0002,2-5-3-7-4-8-9-0-12-13-6-1-10-11-14,
case1.txt,GE_Solo,1,Semilla:2;K_RCL:3,10350.00,10350.00,True,0,0,0,0.0001,2-3-4-7-5-9-0-8-13-1-6-10-12-11-14,
case1.txt,GE_Solo,1,Semilla:3;K_RCL:3,8920.00,8920.00,True,0,0,0,0.0002,2-5-7-3-6-9-8-13-12-4-11-0-10-14-1,
case1.txt,GE_Solo,1,Semilla:4;K_RCL:3,7550.00,7550.00,True,0,0,0,0.0002,2-4-3-6-7-8-5-9-0-13-1-10-11-12-14,
case1.txt,GE_Solo,1,Semilla:5;K_RCL:3,8250.00,8250.00,True,0,0,0,0.0001,4-3-7-5-8-9-0-13-2-12-6-10-1-11-14,
case1.txt,GE_Solo,1,Semilla:6;K_RCL:3,10180.00,10180.00,True,0,0,0,0.0002,4-2-5-7-3-6-8-13-12-0-11-1-10-9-14,
case1.txt,GE_Solo,1,Semilla:7;K_RCL:3,9360.00,9360.00,True,0,0,0,0.0001,3-2-5-6-4-7-0-8-13-1-9-10-12-11-14,
case1.txt,GE_Solo,1,Semilla:8;K_RCL:3,8450.00,8450.00,True,0,0,0,0.0002,2-4-5-3-7-9-6-8-0-13-11-12-10-1-14,
